LAMMPS data file via write_data, version 24 Jul 2017, timestep = 30110

4096 atoms
1 atom types

0.0000000000000000e+00 4.9887063883378197e+01 xlo xhi
0.0000000000000000e+00 4.9887063883378197e+01 ylo yhi
0.0000000000000000e+00 4.9887063883378197e+01 zlo zhi

Masses

1 18.0153

Atoms # atomic

2686 1 2.6461278377105817e+00 2.8945709660925267e-01 9.9917117061284610e+00 1 1 1
857 1 9.1592713769195644e-01 2.7364077370629882e+00 3.9939258754344302e+00 0 1 0
137 1 5.2310813572602095e+00 1.7006909034848692e+00 1.4740359268626848e+00 0 0 0
1238 1 9.5659220087287427e+00 1.4539881005944413e+00 2.4432859678260663e+00 0 1 1
809 1 7.6285990776896782e+00 3.5350128890548902e+00 1.0064910219409344e+00 0 1 0
156 1 1.2687422662466911e+01 1.5584014278470102e+00 2.7208369912307897e+00 0 0 0
3223 1 1.1280355000067459e+01 3.4549656618867339e+00 4.8202390549412605e-01 1 0 1
849 1 4.7886261093704432e+00 2.4919879404149651e+01 7.7673589758355108e+00 0 0 0
2003 1 2.3621885760468682e+00 5.4501388193951534e+00 1.8203728836292867e+00 0 0 1
3294 1 3.6305930794746821e+00 3.5210686619812370e+00 3.1879027782075151e+00 1 0 1
448 1 6.9029346885257965e+00 5.2201052009690070e+00 3.3503825623269208e+00 0 0 1
583 1 1.3886606411695555e+01 4.5033434368989198e+00 3.9136220467081484e-01 0 0 1
1430 1 1.4105524419804594e+01 3.9169872672791350e+00 3.1792724311363121e+00 0 0 0
1920 1 2.1445078511382176e+00 7.8532380456392126e+00 2.4973514517178099e+00 0 0 1
938 1 5.7951096222710783e+00 7.1481885283815050e+00 1.5681704434579939e+00 0 1 0
550 1 5.0477720402290958e+00 8.9672725798837813e+00 3.7029545733519149e+00 0 0 1
3190 1 8.7950305766963517e+00 1.0060075869409749e+01 2.4509017914332945e+00 1 0 1
3638 1 9.6474415897533738e+00 7.0485586466940386e+00 1.8931694407915067e+00 1 1 0
104 1 1.1952423950128733e+01 9.0178365985063920e+00 1.4856999577913363e+00 0 0 0
1975 1 1.3914371162020725e+01 9.8629794766010743e+00 3.4839736910394472e+00 0 0 1
161 1 1.6581182914698719e+01 1.0889808203031032e+01 1.3827780623331862e+00 0 0 0
677 1 1.5274690898775171e+01 8.3200422582163611e+00 1.2450000974126243e+00 0 0 1
1518 1 6.6094198949306304e-01 1.3100544064977491e+01 2.7779799090760549e-01 1 0 0
346 1 1.6012492326034757e+00 1.0882388786319554e+01 1.7035611887693489e+00 0 0 1
134 1 1.3721300747153736e+01 2.4497822946579873e+01 7.1441125939493730e+00 0 0 0
3335 1 4.2015002193401259e+00 1.0455566477474237e+01 1.0324370290700478e+00 1 0 1
2024 1 6.6199904934461324e+00 1.1049221237718870e+01 4.3592401334664101e+00 0 0 1
1842 1 7.2438081748177767e+00 1.3837817374387905e+01 2.4569930098226016e+00 0 0 1
307 1 1.0007784686459317e+01 1.3373498385011370e+01 1.8604932405940016e+00 0 0 0
685 1 1.0833594407642790e+01 1.1297458392874118e+01 3.6186424979808485e+00 0 0 1
305 1 9.0587533647343079e+00 2.3321972473604596e+01 1.0507919310555652e+01 0 0 0
155 1 1.5643118712524410e+01 1.2592085963522017e+01 3.2635182353245429e+00 0 0 0
478 1 2.2367174571908564e+00 1.5430846610189688e+01 3.9984177361641954e-01 0 0 1
3227 1 9.8558885901486726e-01 1.7261638043557198e+01 2.3520769317050414e+00 1 0 1
2906 1 5.0592308997421380e+00 2.4915508883330922e+01 1.1478342993124341e+01 1 0 0
2751 1 4.6691176879161507e+00 1.4950064363252629e+01 1.7798859015691237e+00 1 0 0
2856 1 2.9993255304701663e+00 2.2042992201590238e+01 4.1392510630421603e-01 1 0 0
716 1 9.3704935514858132e+00 1.6035027706561664e+01 4.9873690197651364e+00 0 0 0
573 1 1.0428046907970101e+01 1.7159753931373899e+01 1.2640912653555019e+00 0 0 1
91 1 1.3785218575317440e+01 1.3905989334838649e+01 1.7432493263427664e+00 0 0 0
49 1 1.1552172616964604e+01 1.5551091656820221e+01 3.0637491816516711e+00 0 0 0
36 1 1.5690299743840285e+01 1.5857591535526012e+01 1.0802835603733560e+00 0 0 0
960 1 2.1427406218265768e+00 2.1051866628449567e+01 2.7650798242776173e+00 0 0 0
152 1 3.2520223045277268e+00 1.8554271690423910e+01 1.7308224577390512e+00 0 0 0
988 1 5.7037649372864792e+00 2.0032600393910247e+01 2.7882455111996221e+00 0 0 0
3682 1 5.9519177949812150e+00 1.8831685353906437e+01 1.1700123484197640e-01 1 0 0
970 1 1.1772801874954881e+01 1.9391107204416404e+01 9.1308405747636578e-01 0 0 0
100 1 1.4202918055825462e+01 1.8752703698805814e+01 3.7219544208175148e-01 0 0 0
287 1 1.5460892326333235e+01 1.8361683303694800e+01 3.1422543376120862e+00 0 0 0
558 1 2.4100297571201996e+00 5.5891798823390992e-01 4.3874695063597651e+00 0 0 1
731 1 1.4251202252171276e+00 2.3333089189946751e+01 4.2562887746514697e+00 0 0 0
1080 1 1.5624394014668635e+01 2.2380791779868989e+01 9.0550683665987357e+00 0 0 0
2672 1 5.3480508748716282e+00 2.4475729698396833e+01 1.7806338928177201e+00 0 0 1
3793 1 7.3066824479377308e+00 2.2342900115208266e+01 2.2178046736832169e+00 1 0 0
50 1 4.6419563321756008e-01 4.0512811849503692e+00 3.5268303979967425e-01 0 0 0
1004 1 1.1687750940756688e+01 2.4223746566729705e+01 9.6579108574723982e+00 0 0 0
682 1 1.2317349018206828e+01 2.2803780075788307e+01 1.6716004675812046e-01 0 0 1
